txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7
2021-02-24,False,2705.25,-747.5500000000002,-747.5500000000002,1570.3000000000002,-99.0,-344.0500000000002,574.8000000000002,-364.25,0.0
2021-02-25,False,2878.3,173.05000000000018,173.05000000000018,-747.5500000000002,1570.3000000000002,-99.0,-344.0500000000002,574.8000000000002,-364.25
2021-02-26,False,2227.05,-651.25,-651.25,173.05000000000018,-747.5500000000002,1570.3000000000002,-99.0,-344.0500000000002,574.8000000000002
2021-02-27,False,2911.5,684.4499999999998,684.4499999999998,-651.25,173.05000000000018,-747.5500000000002,1570.3000000000002,-99.0,-344.0500000000002
2021-02-28,False,2122.75,-788.75,-788.75,684.4499999999998,-651.25,173.05000000000018,-747.5500000000002,1570.3000000000002,-99.0
2021-03-01,False,3300.3,1177.5500000000002,1177.5500000000002,-788.75,684.4499999999998,-651.25,173.05000000000018,-747.5500000000002,1570.3000000000002
2021-03-02,False,2177.75,-1122.5500000000002,-1122.5500000000002,1177.5500000000002,-788.75,684.4499999999998,-651.25,173.05000000000018,-747.5500000000002
2021-03-03,False,1812.55,-365.20000000000005,-365.20000000000005,-1122.5500000000002,1177.5500000000002,-788.75,684.4499999999998,-651.25,173.05000000000018
2021-03-04,False,2552.5,739.95,739.95,-365.20000000000005,-1122.5500000000002,1177.5500000000002,-788.75,684.4499999999998,-651.25
2021-03-05,False,3199.0,646.5,646.5,739.95,-365.20000000000005,-1122.5500000000002,1177.5500000000002,-788.75,684.4499999999998
2021-03-06,False,3717.5,518.5,518.5,646.5,739.95,-365.20000000000005,-1122.5500000000002,1177.5500000000002,-788.75
2021-03-07,False,1862.5,-1855.0,-1855.0,518.5,646.5,739.95,-365.20000000000005,-1122.5500000000002,1177.5500000000002
2021-03-08,False,2102.25,239.75,239.75,-1855.0,518.5,646.5,739.95,-365.20000000000005,-1122.5500000000002
2021-03-09,False,3251.75,1149.5,1149.5,239.75,-1855.0,518.5,646.5,739.95,-365.20000000000005
2021-03-10,False,2073.25,-1178.5,-1178.5,1149.5,239.75,-1855.0,518.5,646.5,739.95
2021-03-11,False,2758.25,685.0,685.0,-1178.5,1149.5,239.75,-1855.0,518.5,646.5
2021-03-12,False,1840.0,-918.25,-918.25,685.0,-1178.5,1149.5,239.75,-1855.0,518.5
2021-03-13,False,2047.55,207.54999999999995,207.54999999999995,-918.25,685.0,-1178.5,1149.5,239.75,-1855.0
2021-03-14,False,1922.25,-125.29999999999995,-125.29999999999995,207.54999999999995,-918.25,685.0,-1178.5,1149.5,239.75
2021-03-15,False,3497.55,1575.3000000000002,1575.3000000000002,-125.29999999999995,207.54999999999995,-918.25,685.0,-1178.5,1149.5
2021-03-16,False,2116.75,-1380.8000000000002,-1380.8000000000002,1575.3000000000002,-125.29999999999995,207.54999999999995,-918.25,685.0,-1178.5
2021-03-17,False,3285.8,1169.0500000000002,1169.0500000000002,-1380.8000000000002,1575.3000000000002,-125.29999999999995,207.54999999999995,-918.25,685.0
2021-03-18,False,1809.5,-1476.3000000000002,-1476.3000000000002,1169.0500000000002,-1380.8000000000002,1575.3000000000002,-125.29999999999995,207.54999999999995,-918.25
2021-03-19,False,2182.5,373.0,373.0,-1476.3000000000002,1169.0500000000002,-1380.8000000000002,1575.3000000000002,-125.29999999999995,207.54999999999995
2021-03-20,False,3007.5,825.0,825.0,373.0,-1476.3000000000002,1169.0500000000002,-1380.8000000000002,1575.3000000000002,-125.29999999999995
2021-03-21,False,2857.75,-149.75,-149.75,825.0,373.0,-1476.3000000000002,1169.0500000000002,-1380.8000000000002,1575.3000000000002
2021-03-22,False,2028.25,-829.5,-829.5,-149.75,825.0,373.0,-1476.3000000000002,1169.0500000000002,-1380.8000000000002
2021-03-23,False,2055.4,27.15000000000009,27.15000000000009,-829.5,-149.75,825.0,373.0,-1476.3000000000002,1169.0500000000002
2021-03-24,False,2485.25,429.8499999999999,429.8499999999999,27.15000000000009,-829.5,-149.75,825.0,373.0,-1476.3000000000002
2021-03-25,False,3162.5,677.25,677.25,429.8499999999999,27.15000000000009,-829.5,-149.75,825.0,373.0
2021-03-26,False,1778.25,-1384.25,-1384.25,677.25,429.8499999999999,27.15000000000009,-829.5,-149.75,825.0
2021-03-27,False,2705.0,926.75,926.75,-1384.25,677.25,429.8499999999999,27.15000000000009,-829.5,-149.75
2021-03-28,False,2984.0,279.0,279.0,926.75,-1384.25,677.25,429.8499999999999,27.15000000000009,-829.5
2021-03-29,False,3714.0,730.0,730.0,279.0,926.75,-1384.25,677.25,429.8499999999999,27.15000000000009
2021-03-30,False,1773.55,-1940.45,-1940.45,730.0,279.0,926.75,-1384.25,677.25,429.8499999999999
2021-03-31,False,3291.5,1517.95,1517.95,-1940.45,730.0,279.0,926.75,-1384.25,677.25
2021-04-01,False,2497.05,-794.4499999999998,-794.4499999999998,1517.95,-1940.45,730.0,279.0,926.75,-1384.25
2021-04-02,False,1795.5,-701.5500000000002,-701.5500000000002,-794.4499999999998,1517.95,-1940.45,730.0,279.0,926.75
2021-04-03,False,3266.05,1470.5500000000002,1470.5500000000002,-701.5500000000002,-794.4499999999998,1517.95,-1940.45,730.0,279.0
2021-04-04,False,3400.0,133.94999999999982,133.94999999999982,1470.5500000000002,-701.5500000000002,-794.4499999999998,1517.95,-1940.45,730.0
2021-04-05,False,2488.3,-911.6999999999998,-911.6999999999998,133.94999999999982,1470.5500000000002,-701.5500000000002,-794.4499999999998,1517.95,-1940.45
2021-04-06,False,2214.0,-274.3000000000002,-274.3000000000002,-911.6999999999998,133.94999999999982,1470.5500000000002,-701.5500000000002,-794.4499999999998,1517.95
2021-04-07,False,2195.0,-19.0,-19.0,-274.3000000000002,-911.6999999999998,133.94999999999982,1470.5500000000002,-701.5500000000002,-794.4499999999998
2021-04-08,False,2034.5,-160.5,-160.5,-19.0,-274.3000000000002,-911.6999999999998,133.94999999999982,1470.5500000000002,-701.5500000000002
2021-04-09,False,2950.0,915.5,915.5,-160.5,-19.0,-274.3000000000002,-911.6999999999998,133.94999999999982,1470.5500000000002
2021-04-10,False,2274.0,-676.0,-676.0,915.5,-160.5,-19.0,-274.3000000000002,-911.6999999999998,133.94999999999982
2021-04-11,False,1773.1,-500.9000000000001,-500.9000000000001,-676.0,915.5,-160.5,-19.0,-274.3000000000002,-911.6999999999998
