txn_date,is_stationary,amount,amount_diff,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,lag_11,lag_12,lag_13
2020-09-02,False,2452.5,2452.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75,2579.0,1757.0,2057.8,3365.5,2572.05
2020-09-03,False,3418.5,3418.5,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75,2579.0,1757.0,2057.8,3365.5
2020-09-04,False,2591.0,2591.0,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75,2579.0,1757.0,2057.8
2020-09-05,False,2163.75,2163.75,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75,2579.0,1757.0
2020-09-06,False,2720.0,2720.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75,2579.0
2020-09-07,False,1782.0,1782.0,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0,2764.75
2020-09-08,False,2286.55,2286.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5,2558.0
2020-09-09,False,2372.55,2372.55,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25,1777.5
2020-09-10,False,3512.5,3512.5,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0,1845.25
2020-09-11,False,2457.0,2457.0,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0,2145.0
2020-09-12,False,1895.25,1895.25,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0,3159.0
2020-09-13,False,2034.55,2034.55,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5,2369.0
2020-09-14,False,2243.75,2243.75,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5,2452.5
2020-09-15,False,3354.85,3354.85,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0,3418.5
2020-09-16,False,3265.5,3265.5,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75,2591.0
2020-09-17,False,2839.25,2839.25,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0,2163.75
2020-09-18,False,1861.8,1861.8,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0,2720.0
2020-09-19,False,3311.5,3311.5,3311.5,1861.8,2839.25,3265.5,3354.85,2243.75,2034.55,1895.25,2457.0,3512.5,2372.55,2286.55,1782.0
